bank_partner,country_code,currency_supported,payment_rail,average_completion_time_in_seconds,number_of_failures_per_thousand_transactions,active,routing_code,operating_hours,is_weekend,cost_in_us_cents,discounted_cost_in_us_cents,discount_rule,transaction_date
Axis Bank,IN,INR,IMPS,2570,20,True,IN8317105399,00:00-23:59,False,1510,1510,,2025-01-24 13:44:28
National Kuwait Bank,KW,DKK,DOMESTIC_RAIL,808,3,True,WUHRGBX6,08:00-17:00,False,153,153,,2025-01-22 02:05:26
Guyana Bank,GY,RWF,DOMESTIC_RAIL,2731,11,True,ZIGLGBCC,08:00-17:00,True,195,195,,2025-03-08 02:34:15
Metro Bank,UK,USD,CHAPS,1016,19,True,MOPQGBX5,08:00-16:00,False,1238,1238,,2025-04-10 12:59:09
Allied Bank,US,USD,ACH,1561,20,False,904636039,00:00-23:59,True,163,163,,2025-03-09 18:46:10
Deutsche Bank,DE,EUR,SEPA,2577,4,True,AQURGBMU14Y,00:00-23:59,True,39,39,,2025-01-05 19:26:58
Lloyds Banking Group,UK,GBP,DIRECT,2355,7,True,ULGAGB98,00:00-23:59,False,1099,1099,,2025-03-06 11:47:31
Nationwide,UK,GBP,DIRECT,1538,4,True,MZMEGBNIMR1,00:00-23:59,False,130,130,,2025-04-08 13:17:54
ABC International Bank plc,UK,GBP,DIRECT,3344,7,False,UENIGB0UEJX,00:00-23:59,False,138,138,,2025-02-18 08:56:09
Barclays,UK,GBP,DIRECT,1160,3,True,RFKXGBZLDHZ,00:00-23:59,True,103,103,,2025-01-25 12:41:08
Andhra Bank,IN,INR,NEFT,2436,0,True,IN3981819011,08:00-19:00,True,164,115,30% weekend discount,2025-04-19 05:37:32
BankUnited,US,USD,CHIPS,1083,8,False,444256393,00:00-23:59,True,1135,1135,,2025-01-05 16:37:35
Barclays,UK,GBP,DIRECT,688,12,False,PMXGGBMED85,00:00-23:59,True,1263,1263,,2025-04-05 16:46:56
Volksbank,DE,EUR,ELIXIR,879,7,True,SHEDGBJBHEQ,08:00-16:00,False,269,269,,2025-01-06 06:25:26
Central Bank of India,IN,INR,UPI,3170,4,True,IN7879727229,00:00-23:59,False,68,68,,2025-02-04 06:13:43
First Direct,UK,GBP,DIRECT,1559,0,True,RCVLGB8TM89,00:00-23:59,False,207,207,,2025-03-26 04:29:49
Andhra Bank,IN,INR,UPI,1936,13,True,IN9020315517,00:00-23:59,False,144,144,,2025-01-09 11:49:58
Punjab National Bank,IN,INR,UPI,2949,14,False,IN6976353764,00:00-23:59,False,148,148,,2025-03-03 22:54:29
State Bank of India (SBI),IN,INR,UPI,1644,13,False,IN3164143641,00:00-23:59,False,148,148,,2025-03-05 06:10:22
Central Bank of India,IN,INR,IMPS,942,9,True,IN8024027047,00:00-23:59,False,1639,1639,,2025-01-29 00:37:59
IDBI Bank,IN,INR,RTGS,3394,16,True,IN1078366985,00:00-23:59,False,2562,2562,,2025-04-10 10:36:31
Nationwide,UK,GBP,DIRECT,1570,7,True,NASIGB9IC4O,00:00-23:59,True,98,98,,2025-02-22 11:44:55
TARGOBANK,DE,EUR,SEPA,1509,11,True,CVAAGBSKIZV,00:00-23:59,True,92,64,30% weekend discount,2025-01-05 21:07:15
Commerzbank,DE,EUR,ELIXIR,2804,12,True,RDKLGBJH13Z,08:00-16:00,False,214,214,,2025-02-27 05:10:58
Guyana Bank,GY,RWF,DOMESTIC_RAIL,1351,1,True,KREQGBI3HAN,08:00-17:00,False,192,192,,2025-01-29 06:16:09
HSBC,UK,GBP,DIRECT,596,0,True,LSMQGBEZ,00:00-23:59,False,28,28,,2025-03-21 16:15:00
Deutsche Bank,DE,EUR,ELIXIR,2753,9,True,DUHKGBGNDC6,08:00-16:00,False,349,349,,2025-02-18 09:16:14
UniCredit Bank AG,DE,EUR,SEPA,2224,11,True,GUCKGB9C62C,00:00-23:59,False,57,57,,2025-04-23 04:08:36
Fidelity Investments,US,USD,Fedwire,2981,17,True,234550796,08:30-17:00,False,2638,2638,,2025-04-07 07:57:34
Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,512,18,False,PYPUGBI1,08:00-17:00,False,240,240,,2025-01-01 09:50:06
First Federal Bank of Chicago,US,USD,Fedwire,2080,5,True,541909652,08:30-17:00,True,2591,2591,,2025-02-23 05:16:53
Postbank,DE,EUR,SEPA,1274,2,True,BKQGGB48,00:00-23:59,True,96,67,30% weekend discount,2025-03-09 14:40:23
South Dakota Bank,US,USD,ACH,3491,16,True,888602880,00:00-23:59,False,164,164,,2025-02-17 01:05:40
Kotak Mahindra Bank,IN,USD,RTGS,1057,8,True,IN3302591889,00:00-23:59,True,3512,3512,,2025-02-15 02:29:57
Sparkasse,DE,EUR,ELIXIR,2632,17,False,XGGJGB13,08:00-16:00,False,222,222,,2025-04-09 05:02:08
Commerzbank,DE,EUR,ELIXIR,2373,4,True,RUSGGB05,08:00-16:00,False,190,190,,2025-02-07 02:51:29
Community Bank,US,USD,Fedwire,653,8,True,143826789,08:30-17:00,False,2540,2540,,2025-01-07 10:58:07
Vanguard Bank,US,USD,CHIPS,351,17,True,385865280,00:00-23:59,True,1076,753,30% weekend discount,2025-02-09 03:18:57
Sparkasse,DE,EUR,ELIXIR,3477,11,True,XQPMGB0AW80,08:00-16:00,True,275,275,,2025-01-11 18:27:14
Umpqua Bank,US,USD,CHIPS,1783,10,True,627870438,00:00-23:59,True,1142,1142,,2025-01-11 13:22:53
Bank of Baroda,IN,USD,NEFT,2830,4,True,IN2439088844,08:00-19:00,False,1100,1100,,2025-02-03 18:56:51
Punjab and Sind Bank,IN,INR,UPI,641,13,True,IN7888203657,00:00-23:59,True,17,12,30% weekend discount,2025-02-08 11:47:49
Community Bank,US,USD,CHIPS,2311,3,True,351584712,00:00-23:59,False,1034,984,50 cent discount,2025-04-16 06:54:32
ING,DE,EUR,SEPA,2466,4,True,WKJBGBJA,00:00-23:59,False,137,137,,2025-02-14 04:51:18
Punjab National Bank,IN,INR,IMPS,3319,3,True,IN4430421961,00:00-23:59,False,1636,1636,,2025-01-08 01:20:04
Nationwide,UK,EUR,CHAPS,867,17,False,FHHMGB619IE,08:00-16:00,True,1379,965,30% weekend discount,2025-02-08 02:33:09
KeyBank,US,USD,CHIPS,1439,3,True,680993150,00:00-23:59,True,1179,1179,,2025-01-26 09:46:09
Guyana Bank,GY,RWF,DOMESTIC_RAIL,1703,20,True,ZUMUGBH4,08:00-17:00,False,233,233,,2025-03-31 12:36:06
Guyana Bank,GY,RWF,DOMESTIC_RAIL,2958,1,False,BGPPGBVF,08:00-17:00,True,112,112,,2025-01-04 16:27:51
IDBI Bank,IN,INR,IMPS,373,14,False,IN9517674163,00:00-23:59,True,1522,1522,,2025-01-26 16:08:41
First Bank of the West,US,USD,ACH,1955,2,True,531925812,00:00-23:59,False,113,113,,2025-03-12 11:21:31
Bank of Ireland,UK,GBP,CHAPS,2807,8,True,RZTLGBF8WZC,08:00-16:00,True,1257,880,30% weekend discount,2025-02-16 06:31:08
Kuwait Bank,KW,EUR,SWIFT,51544,16,True,IBXVGBXJ,00:00-23:59,True,2728,2728,,2025-03-29 00:13:27
ICICI Bank,IN,INR,RTGS,2211,9,True,IN6224415576,00:00-23:59,True,2529,2529,,2025-02-16 04:38:02
First Direct,UK,GBP,DIRECT,1654,13,True,WNEXGBJ56WM,00:00-23:59,False,109,109,,2025-04-04 12:45:14
Alliance Bank,US,USD,Fedwire,2396,19,True,718065700,08:30-17:00,False,2584,2584,,2025-02-14 05:22:23
Provident Bank,US,USD,CHIPS,1780,18,False,553875461,00:00-23:59,False,2102,2102,,2025-03-28 20:59:34
Chase,US,USD,Fedwire,562,0,False,302649492,08:30-17:00,False,2583,2583,,2025-04-09 02:05:28
Commerzbank,DE,EUR,ELIXIR,2401,20,False,MTOVGB87,08:00-16:00,False,295,295,,2025-02-13 00:01:52
Volkswagen Bank,DE,GBP,ELIXIR,469,3,True,PVPNGBH4,08:00-16:00,False,1280,1280,,2025-03-25 18:41:59
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,1612,6,False,HOPGGBX4UYW,08:00-17:00,False,294,294,,2025-01-29 16:52:41
Barclays,UK,GBP,DIRECT,1786,2,True,CQOOGBM7LXJ,00:00-23:59,False,80,80,,2025-01-03 04:20:48
US Bank,US,USD,CHIPS,3165,14,True,651916740,00:00-23:59,False,1010,1010,,2025-02-19 01:04:20
Halifax,UK,GBP,DIRECT,1525,0,True,RUKDGBJT,00:00-23:59,False,80,80,,2025-01-23 18:06:51
Huntington Bank,US,USD,ACH,2299,1,True,922773785,00:00-23:59,False,123,123,,2025-01-23 04:16:11
Fifth Third Bank,US,USD,Fedwire,347,7,True,670738213,08:30-17:00,False,2698,2698,,2025-04-17 23:03:10
First Direct,UK,GBP,DIRECT,3592,6,True,HIBQGBT4,00:00-23:59,False,97,97,,2025-01-09 22:09:54
ABC International Bank plc,UK,GBP,CHAPS,636,16,True,ZJHKGB7T,08:00-16:00,False,346,296,50 cent discount,2025-01-29 18:43:02
N26,DE,EUR,SEPA,2442,4,True,BCAQGBVS9D6,00:00-23:59,False,89,89,,2025-03-07 05:43:37
State Bank of India (SBI),IN,INR,UPI,2539,14,True,IN6120276222,00:00-23:59,False,170,170,,2025-03-27 19:51:33
DZ Bank,DE,EUR,ELIXIR,1781,17,True,UPGXGBNCLZO,08:00-16:00,True,332,332,,2025-01-25 06:18:42
HDFC Bank,IN,INR,RTGS,1261,9,True,IN0393666229,00:00-23:59,False,2610,2610,,2025-03-25 07:33:03
HSBC,UK,USD,DIRECT,2330,4,True,BKSOGBKY,00:00-23:59,False,1151,1151,,2025-02-03 12:21:10
First National Bank,US,USD,Fedwire,1643,1,True,279121091,08:30-17:00,False,2544,2544,,2025-04-14 10:31:40
Bank of Ireland,UK,GBP,DIRECT,2864,11,True,NRCLGBQ8,00:00-23:59,True,206,206,,2025-02-16 03:47:00
TD Bank,US,USD,Fedwire,799,4,True,768765235,08:30-17:00,True,2606,2606,,2025-02-22 15:26:20
ICICI Bank,IN,INR,NEFT,1753,16,True,IN3925021563,08:00-19:00,False,162,162,,2025-02-06 16:08:05
KeyBank,US,USD,CHIPS,2992,12,True,261191917,00:00-23:59,False,1044,1044,,2025-01-17 21:02:11
Halifax,UK,EUR,CHAPS,463,6,True,JQIIGBVM6D3,08:00-16:00,False,1245,1245,,2025-04-03 17:21:55
ABC International Bank plc,UK,GBP,CHAPS,1962,3,True,XBXUGBWB6K3,08:00-16:00,True,216,216,,2025-03-29 06:05:01
Bank OZK,US,USD,ACH,1352,18,False,917824302,00:00-23:59,False,36,36,,2025-03-27 15:56:33
South Dakota Bank,US,USD,Fedwire,541,8,True,238538684,08:30-17:00,False,2625,2625,,2025-04-04 00:49:37
TARGOBANK,DE,EUR,SWIFT,8838,20,True,RBGRGB7W,00:00-23:59,False,2617,2617,,2025-01-10 00:10:06
Nationwide,UK,GBP,DIRECT,1079,4,True,DQVTGBON,00:00-23:59,True,81,81,,2025-01-04 17:26:53
Bank of India,IN,INR,IMPS,2988,9,True,IN0853381684,00:00-23:59,False,1589,1589,,2025-02-10 15:56:07
Deutsche Kreditbank Aktiengesellschaft,DE,EUR,SEPA,2715,20,True,WTFTGB9I,00:00-23:59,False,138,138,,2025-01-23 15:01:41
Halifax,UK,GBP,CHAPS,2823,15,True,XLBRGB3I,08:00-16:00,True,1257,1257,,2025-02-09 05:37:35
NatWest,UK,USD,DIRECT,1393,20,True,FYHLGBMF,00:00-23:59,True,1191,834,30% weekend discount,2025-01-04 00:33:31
BankUnited,US,USD,Fedwire,1748,4,False,153462534,08:30-17:00,True,2547,2547,,2025-01-04 17:48:57
New Bank of India,IN,INR,IMPS,2483,12,True,IN2548352190,00:00-23:59,False,1643,1643,,2025-04-04 11:31:59
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,587,10,True,MTYXGB8K,08:00-17:00,False,127,127,,2025-03-25 17:27:27
Lloyds Banking Group,UK,GBP,SWIFT,64836,6,True,ETSXGBCY,00:00-23:59,False,2666,2666,,2025-01-31 18:06:58
Deutsche Bank,DE,EUR,SEPA,2008,13,True,IQIUGBTTPZ1,00:00-23:59,False,194,194,,2025-01-23 07:33:48
Atom Bank PLC,UK,GBP,SWIFT,73765,6,False,PZSFGBTG,00:00-23:59,True,2759,2759,,2025-03-02 01:56:28
Punjab and Sind Bank,IN,INR,UPI,2998,13,True,IN2507586662,00:00-23:59,False,67,67,,2025-03-19 13:26:17
Santander UK,UK,GBP,DIRECT,3454,0,True,SMSFGBW9,00:00-23:59,False,88,88,,2025-02-12 12:39:52
NatWest,UK,EUR,DIRECT,1104,18,True,NQEXGBPSAZ2,00:00-23:59,False,1222,1222,,2025-03-20 14:40:44
TARGOBANK,DE,EUR,ELIXIR,2901,17,True,EHXQGBIPUIE,08:00-16:00,False,258,258,,2025-02-07 15:28:50
IndusInd Bank,IN,INR,UPI,2938,18,True,IN2799703875,00:00-23:59,False,119,119,,2025-02-07 11:07:03
First Federal Bank of Chicago,US,GBP,ACH,3518,13,True,790672142,00:00-23:59,True,1156,1156,,2025-02-22 16:15:36
Fidor Bank,DE,EUR,ELIXIR,683,0,True,JKJFGBFIN9D,08:00-16:00,True,292,292,,2025-03-16 19:57:42
Hamburg Commercial Bank,DE,EUR,SEPA,3033,20,True,SCJOGBLH,00:00-23:59,False,151,151,,2025-03-18 05:22:12
Yes Bank,IN,INR,RTGS,2972,20,True,IN9779064135,00:00-23:59,False,2554,2554,,2025-01-17 05:36:56
N26,DE,EUR,ELIXIR,2350,13,True,JOCRGB0B1VS,08:00-16:00,True,345,345,,2025-01-11 12:10:52
Regions Bank,US,USD,ACH,3403,15,True,444860924,00:00-23:59,False,217,217,,2025-04-22 18:37:40
Volksbank,DE,EUR,ELIXIR,2377,12,True,FIUWGBAR,08:00-16:00,False,204,204,,2025-01-01 01:40:48
UCO Bank,IN,INR,IMPS,3047,1,False,IN9505610603,00:00-23:59,False,1556,1556,,2025-03-26 21:04:13
Lloyds Banking Group,UK,EUR,DIRECT,1253,0,True,PWTMGBZKWIA,00:00-23:59,True,1234,1234,,2025-03-29 12:04:50
American Express,US,USD,Fedwire,921,19,True,809425464,08:30-17:00,False,2532,2532,,2025-03-14 10:09:18
IDBI Bank,IN,INR,RTGS,343,5,True,IN7465376209,00:00-23:59,True,2571,2571,,2025-04-12 06:57:55
Andhra Bank,IN,INR,RTGS,3322,14,True,IN8659296091,00:00-23:59,True,2656,2656,,2025-01-05 08:49:43
Fidelity Bank,US,USD,CHIPS,1569,4,True,853756168,00:00-23:59,False,1143,1143,,2025-02-28 22:36:35
HDFC Bank,IN,INR,IMPS,1962,17,False,IN7226896455,00:00-23:59,False,1645,1645,,2025-03-03 10:31:54
ABC International Bank plc,UK,GBP,CHAPS,2666,14,False,OLHDGBDY,08:00-16:00,False,289,289,,2025-03-27 13:49:12
Barclays,UK,GBP,CHAPS,2551,4,False,YMHQGBF1ITK,08:00-16:00,False,302,302,,2025-03-14 06:24:01
American Express,US,USD,CHIPS,3424,8,True,382715479,00:00-23:59,True,1161,1161,,2025-04-05 23:25:21
Guyana Bank,GY,EUR,DOMESTIC_RAIL,2096,20,True,GAXBGB91,08:00-17:00,False,1277,1277,,2025-04-08 07:54:47
N26,DE,EUR,SEPA,2209,8,True,GLSNGBWUV6H,00:00-23:59,True,124,124,,2025-01-11 10:46:24
Santander UK,UK,GBP,DIRECT,972,8,True,CBGIGB49,00:00-23:59,True,102,102,,2025-03-22 11:16:13
IndusInd Bank,IN,INR,NEFT,2169,3,True,IN4431721005,08:00-19:00,True,232,232,,2025-04-13 23:36:52
Deutsche Kreditbank Aktiengesellschaft,DE,EUR,SEPA,2009,10,False,QXEDGBW6UMV,00:00-23:59,False,71,71,,2025-03-28 22:51:43
Deutsche Kreditbank Aktiengesellschaft,DE,EUR,SEPA,1627,7,True,ERVWGBVUKUM,00:00-23:59,False,159,159,,2025-04-16 22:00:26
Barclays,UK,GBP,DIRECT,2328,16,True,DMEMGBGD446,00:00-23:59,False,81,81,,2025-02-18 00:59:59
Midwest Bank,US,USD,CHIPS,1115,18,True,411835853,00:00-23:59,False,1072,1072,,2025-03-31 21:44:52
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,3537,18,True,EOWCGB4AYGA,08:00-17:00,False,210,210,,2025-03-20 18:05:14
Landesbank Baden-W�rttemberg,DE,EUR,ELIXIR,1564,15,True,GFLLGBMH,08:00-16:00,False,282,282,,2025-04-03 20:00:32
N26,DE,EUR,ELIXIR,2746,19,False,EZSIGBR2LXS,08:00-16:00,False,219,219,,2025-02-17 10:39:12
Kuwait Bank,KW,EUR,DOMESTIC_RAIL,3407,6,True,XYRUGBVW,08:00-17:00,True,1252,1252,,2025-01-04 17:38:33
Kotak Mahindra Bank,IN,INR,IMPS,533,3,True,IN4999680434,00:00-23:59,False,1545,1545,,2025-03-19 00:03:32
Vanguard Bank,US,USD,Fedwire,399,8,True,931282360,08:30-17:00,False,2541,2541,,2025-04-23 04:22:32
National Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,1907,3,True,HNRMGBS0,08:00-17:00,False,289,289,,2025-02-11 23:57:21
National Kuwait Bank,KW,USD,DOMESTIC_RAIL,638,0,True,AYNNGB2RZTK,08:00-17:00,False,1262,1262,,2025-03-10 14:37:40
Royal Bank of Scotland,UK,GBP,DIRECT,2551,3,False,QPSMGB10,00:00-23:59,True,46,46,,2025-01-11 11:59:22
Deutsche Bank,DE,EUR,SEPA,1139,16,True,PXORGBS5,00:00-23:59,False,31,31,,2025-04-22 00:26:49
NatWest,UK,GBP,CHAPS,3288,0,True,SXIZGBLWES5,08:00-16:00,False,191,191,,2025-01-21 08:33:22
Landesbank Hessen-Th�ringen,DE,EUR,ELIXIR,1283,11,True,GFXZGBCZ,08:00-16:00,False,332,332,,2025-04-14 19:30:26
New Bank of India,IN,INR,NEFT,1411,9,True,IN2633401422,08:00-19:00,False,246,246,,2025-02-06 18:35:34
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,2458,5,True,RISYGB9T,08:00-17:00,False,116,116,,2025-02-06 08:50:03
Landesbank Hessen-Th�ringen,DE,EUR,ELIXIR,2880,10,True,VZAEGBTLXML,08:00-16:00,False,227,227,,2025-02-19 08:53:40
Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,922,18,True,NRNDGBIKJIM,08:00-17:00,True,1439,1439,,2025-01-05 05:10:55
Axis Bank,IN,INR,IMPS,1717,19,True,IN5600113651,00:00-23:59,False,1674,1674,,2025-01-10 01:13:15
DZ Bank,DE,EUR,ELIXIR,2676,17,True,WUXSGBIT,08:00-16:00,False,287,287,,2025-01-13 16:23:41
Lloyds Banking Group,UK,GBP,DIRECT,3397,0,True,RFACGBAT2VH,00:00-23:59,False,179,179,,2025-02-18 15:59:32
TARGOBANK,DE,EUR,SEPA,1673,13,True,ZZQBGBBMQI6,00:00-23:59,True,146,146,,2025-02-22 14:20:31
Santander UK,UK,GBP,DIRECT,2383,0,False,XTYPGBGU,00:00-23:59,False,162,162,,2025-01-23 12:58:49
Royal Bank of Scotland,UK,GBP,SWIFT,72733,12,True,DPRAGBY4KWZ,00:00-23:59,True,2762,2762,,2025-03-16 10:06:05
Barclays,UK,EUR,DIRECT,1978,9,True,UENGGBJO,00:00-23:59,True,1116,1116,,2025-02-15 15:42:35
First Federal Bank of Chicago,US,USD,CHIPS,1332,14,True,141903044,00:00-23:59,False,1138,1138,,2025-03-24 07:47:13
Indian Bank,IN,INR,RTGS,3132,20,True,IN5347371353,00:00-23:59,False,2622,2622,,2025-03-13 21:37:00
Bank of Maharashtra,IN,INR,UPI,888,13,True,IN5894809642,00:00-23:59,False,12,12,,2025-03-18 14:55:22
Metro Bank,UK,GBP,CHAPS,739,13,True,BPZVGBF7X5A,08:00-16:00,True,236,236,,2025-02-15 16:08:07
N26,DE,EUR,SEPA,1351,12,True,PCWFGBYC,00:00-23:59,False,135,135,,2025-02-25 12:34:09
Indian Overseas Bank,IN,INR,UPI,2073,4,True,IN3228593398,00:00-23:59,True,161,161,,2025-02-02 18:53:40
Bank of Ireland,UK,USD,DIRECT,664,19,False,JCAWGBGH,00:00-23:59,False,1046,1046,,2025-03-19 07:14:22
Sparkasse,DE,EUR,SEPA,898,10,True,RLGSGBLS,00:00-23:59,False,43,43,,2025-02-21 10:00:48
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,3093,4,True,TISSGBAAY9O,08:00-17:00,False,266,266,,2025-03-18 08:27:52
Provident Bank,US,USD,ACH,3569,7,True,269725935,00:00-23:59,False,206,206,,2025-03-19 18:27:29
Guyana Bank,GY,RWF,DOMESTIC_RAIL,2714,12,False,NLSYGB1U,08:00-17:00,True,154,154,,2025-04-20 05:20:16
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,1606,10,True,MNBTGBE2,08:00-17:00,True,1427,1427,,2025-04-05 15:47:55
Halifax,UK,GBP,CHAPS,396,19,True,IUFJGB0HT3C,08:00-16:00,False,240,240,,2025-01-22 18:59:12
HSBC,UK,GBP,DIRECT,3555,15,True,FCFXGB0Z5H4,00:00-23:59,False,160,160,,2025-03-11 11:10:22
Axis Bank,IN,INR,NEFT,1949,11,False,IN4903603735,08:00-19:00,False,217,117,$1 off per 50 txn,2025-01-21 02:49:15
First Direct,UK,GBP,CHAPS,2597,16,True,GFQDGBT29RX,08:00-16:00,False,1319,1319,,2025-01-16 11:17:11
American Savings Bank,US,USD,CHIPS,2879,20,True,760437351,00:00-23:59,True,1017,1017,,2025-01-04 21:08:28
Atom Bank PLC,UK,GBP,CHAPS,2545,10,True,QCPGGB6V,08:00-16:00,True,1282,1282,,2025-02-01 03:15:16
Hamburg Commercial Bank,DE,EUR,ELIXIR,3123,13,True,OHJJGBL38ED,08:00-16:00,True,165,165,,2025-01-19 01:28:25
IDBI Bank,IN,INR,RTGS,779,4,True,IN3140138574,00:00-23:59,True,2568,2568,,2025-01-25 13:08:41
National Kuwait Bank,KW,DKK,DOMESTIC_RAIL,2352,8,True,WGFZGBVW,08:00-17:00,True,188,188,,2025-03-15 07:42:41
National Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,1136,9,True,QXLIGB8R,08:00-17:00,False,125,125,,2025-01-01 11:38:53
ABC International Bank plc,UK,GBP,DIRECT,3417,8,True,TLYIGBY9MKS,00:00-23:59,False,1105,1105,,2025-04-08 01:53:10
National Kuwait Bank,KW,DKK,DOMESTIC_RAIL,381,16,True,IVCSGBDC,08:00-17:00,True,290,203,30% weekend discount,2025-03-23 01:26:26
Guyana Bank,GY,RWF,DOMESTIC_RAIL,758,18,True,YWGRGBIYPGR,08:00-17:00,False,257,257,,2025-01-21 01:49:33
HSBC,UK,GBP,DIRECT,848,12,True,AKSNGBD7,00:00-23:59,False,124,124,,2025-03-17 05:31:09
Nationwide,UK,GBP,CHAPS,2399,15,True,BPFBGBBH25C,08:00-16:00,False,246,246,,2025-02-14 08:50:42
Liberty Bank,US,USD,CHIPS,2121,20,True,908477791,00:00-23:59,False,1055,955,$1 off per 50 txn,2025-03-17 23:18:22
Nationwide,UK,GBP,DIRECT,3573,11,True,OFMMGBJ5,00:00-23:59,False,1185,1185,,2025-01-29 04:49:01
Metro Bank,UK,GBP,DIRECT,3292,4,True,DSBBGBKX,00:00-23:59,False,149,149,,2025-03-03 04:34:31
Provident Bank,US,USD,Fedwire,806,1,True,257900595,08:30-17:00,False,2675,2675,,2025-03-31 19:44:05
New Bank of India,IN,INR,IMPS,1763,16,True,IN0035412964,00:00-23:59,False,1546,1546,,2025-04-04 11:04:17
Royal Bank of Scotland,UK,GBP,CHAPS,2826,16,True,VFVLGBUA9AY,08:00-16:00,False,211,211,,2025-03-06 11:53:58
Santander UK,UK,GBP,CHAPS,3134,1,True,ASRDGBOE2F2,08:00-16:00,False,340,340,,2025-03-17 10:06:19
IndusInd Bank,IN,INR,IMPS,3051,17,True,IN4601157178,00:00-23:59,False,1629,1629,,2025-01-24 15:30:23
Guyana Bank,GY,RWF,DOMESTIC_RAIL,3107,9,True,JPOHGBFA,08:00-17:00,False,241,241,,2025-01-20 13:08:46
Metro Bank,UK,EUR,DIRECT,2739,18,True,IRGZGB64Z49,00:00-23:59,False,1102,1102,,2025-02-07 01:01:24
Nationwide,UK,USD,CHAPS,3419,5,False,VFXZGBFCKJW,08:00-16:00,False,1196,1196,,2025-01-06 08:35:11
Nationwide,UK,GBP,DIRECT,824,10,True,LTLDGBU2,00:00-23:59,False,186,186,,2025-02-10 06:54:39
Guyana Bank,GY,RWF,DOMESTIC_RAIL,3395,2,True,DSWFGBE3LZQ,08:00-17:00,True,209,209,,2025-01-04 17:52:32
Landesbank Baden-W�rttemberg,DE,EUR,ELIXIR,2527,14,True,HHZNGBYC,08:00-16:00,False,1292,1292,,2025-04-22 17:19:04
UniCredit Bank AG,DE,GBP,SEPA,537,18,False,TCLEGBLM,00:00-23:59,False,1255,1255,,2025-02-13 04:14:29
Allied Bank,US,USD,Fedwire,1142,10,True,452615023,08:30-17:00,False,2664,2664,,2025-02-10 10:32:44
Syndicate Bank,IN,INR,UPI,1101,10,True,IN7346246495,00:00-23:59,False,71,71,,2025-01-06 07:31:57
First Direct,UK,USD,DIRECT,1437,16,True,XDAZGB6P,00:00-23:59,False,1078,1078,,2025-01-31 10:43:18
Syndicate Bank,IN,INR,IMPS,1091,15,False,IN7269041574,00:00-23:59,True,1699,1699,,2025-02-16 04:09:29
KeyBank,US,USD,ACH,2831,19,True,739747514,00:00-23:59,False,185,185,,2025-04-07 13:07:02
National Kuwait Bank,KW,DKK,DOMESTIC_RAIL,1290,12,True,TPGFGBHN,08:00-17:00,False,239,239,,2025-02-14 20:22:55
Guyana Bank,GY,RWF,DOMESTIC_RAIL,1553,17,True,CMHEGBHW,08:00-17:00,False,185,85,$1 off per 50 txn,2025-03-28 03:05:19
Fidor Bank,DE,EUR,SEPA,1855,8,True,IFKDGB4H,00:00-23:59,False,148,148,,2025-04-02 05:37:11
Bank of Maharashtra,IN,INR,UPI,2492,12,True,IN1558559289,00:00-23:59,False,81,81,,2025-04-10 00:46:58
Kotak Mahindra Bank,IN,INR,IMPS,2567,14,True,IN6797298499,00:00-23:59,False,1682,1682,,2025-04-08 19:19:05
Bank of Baroda,IN,INR,IMPS,2986,11,True,IN4190114403,00:00-23:59,True,1650,1650,,2025-02-08 22:33:41
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,1532,17,False,IFTMGBE9,08:00-17:00,False,115,115,,2025-04-23 02:17:24
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,3296,12,True,QRESGBWI,08:00-17:00,False,270,270,,2025-03-18 23:29:13
Citizens Bank,US,USD,Fedwire,3433,12,True,866087813,08:30-17:00,True,2672,2672,,2025-03-30 23:46:59
Central Bank of India,IN,INR,RTGS,3413,2,True,IN8347036771,00:00-23:59,False,2680,2680,,2025-01-27 04:47:42
Liberty Bank,US,USD,Fedwire,2360,10,True,932589456,08:30-17:00,False,2662,2662,,2025-01-30 14:18:03
Bank of Ireland,UK,GBP,CHAPS,3484,1,True,HANEGB22,08:00-16:00,True,265,265,,2025-03-23 16:26:49
Bank of Hawaii,US,USD,ACH,2780,1,True,994025111,00:00-23:59,False,73,73,,2025-03-24 18:43:58
Axis Bank,IN,INR,NEFT,3522,14,True,IN4295709059,08:00-19:00,True,250,250,,2025-03-02 02:29:38
HDFC Bank,IN,INR,NEFT,3551,9,True,IN5878226133,08:00-19:00,True,102,102,,2025-03-23 03:09:44
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,3172,8,True,EQYLGBG7,08:00-17:00,True,1415,1415,,2025-02-01 11:12:52
Guyana Bank,GY,RWF,DOMESTIC_RAIL,503,7,False,BJQNGBWDHC7,08:00-17:00,False,196,196,,2025-01-28 20:33:39
